Filename,vpf_expected,mrd1_expected
avneesh_0026_left_eye.jpg,8.94,3.36
avneesh_0026_right_eye.jpg,9.03,3.8
avneesh_0033_left_eye.jpg,9.04,3.46
avneesh_0033_right_eye.jpg,8.9,3.62
avneesh_0034_left_eye.jpg,8.97,3.57
avneesh_0034_right_eye.jpg,8.97,3.64
avneesh_0037_left_eye.jpg,9.03,3.3
avneesh_0037_right_eye.jpg,9.2,3.78
avneesh_0039_left_eye.jpg,9.11,3.6
avneesh_0039_right_eye.jpg,9.2,3.88
avneesh_0047_left_eye.jpg,9.18,3.64
avneesh_0047_right_eye.jpg,9.03,3.58
avneesh_0049_left_eye.jpg,9.0,3.24
avneesh_0049_right_eye.jpg,9.29,3.95
avneesh_0050_left_eye.jpg,9.11,3.77
avneesh_0050_right_eye.jpg,9.12,3.64
avneesh_0051_left_eye.jpg,8.99,3.36
avneesh_0051_right_eye.jpg,8.94,3.53
avneesh_0056_left_eye.jpg,9.19,3.52
avneesh_0056_right_eye.jpg,9.17,3.74
avneesh_0058_left_eye.jpg,9.08,3.75
avneesh_0058_right_eye.jpg,9.08,3.61
avneesh_0059_left_eye.jpg,8.98,3.67
avneesh_0059_right_eye.jpg,9.11,3.63
avneesh_0060_left_eye.jpg,9.04,3.55
avneesh_0060_right_eye.jpg,9.03,3.5
avneesh_0061_left_eye.jpg,9.11,3.53
avneesh_0061_right_eye.jpg,8.98,3.47
avneesh_0063_left_eye.jpg,9.05,3.49
avneesh_0063_right_eye.jpg,9.08,3.77
avneesh_0065_left_eye.jpg,9.15,3.36
avneesh_0065_right_eye.jpg,9.29,3.83
avneesh_0074_left_eye.jpg,9.12,3.39
avneesh_0074_right_eye.jpg,9.15,3.75
avneesh_0083_left_eye.jpg,9.28,3.71
avneesh_0083_right_eye.jpg,9.61,4.16
avneesh_0085_left_eye.jpg,9.4,3.78
avneesh_0085_right_eye.jpg,9.5,3.95
avneesh_0087_left_eye.jpg,9.32,3.75
avneesh_0087_right_eye.jpg,9.45,3.91
avneesh_0100_left_eye.jpg,9.39,3.69
avneesh_0100_right_eye.jpg,9.28,3.76
avneesh_0102_left_eye.jpg,9.26,3.67
avneesh_0102_right_eye.jpg,9.54,4.11
avneesh_0103_left_eye.jpg,9.34,3.61
avneesh_0103_right_eye.jpg,9.27,3.83
avneesh_0108_left_eye.jpg,9.29,3.69
avneesh_0108_right_eye.jpg,9.5,3.89
avneesh_0115_left_eye.jpg,9.5,3.74
avneesh_0115_right_eye.jpg,9.61,4.16
avneesh_0118_left_eye.jpg,9.28,3.7
avneesh_0118_right_eye.jpg,9.55,4.1
avneesh_0125_left_eye.jpg,9.4,3.72
avneesh_0125_right_eye.jpg,9.79,4.11
avneesh_0126_left_eye.jpg,9.74,4.09
avneesh_0126_right_eye.jpg,9.78,4.17
avneesh_0127_left_eye.jpg,9.71,4.22
avneesh_0127_right_eye.jpg,9.84,4.25
avneesh_0136_left_eye.jpg,9.36,4.02
avneesh_0136_right_eye.jpg,9.53,4.17
avneesh_0160_left_eye.jpg,9.41,4.09
avneesh_0160_right_eye.jpg,9.7,4.13
avneesh_0161_left_eye.jpg,9.4,3.92
avneesh_0161_right_eye.jpg,9.22,3.58
avneesh_0166_left_eye.jpg,9.38,3.96
avneesh_0166_right_eye.jpg,9.15,3.75
avneesh_0167_left_eye.jpg,9.38,3.96
avneesh_0167_right_eye.jpg,9.13,3.69
avneesh_0175_left_eye.jpg,9.27,3.84
avneesh_0175_right_eye.jpg,9.18,3.67
avneesh_0189_left_eye.jpg,2.06,0.0
avneesh_0189_right_eye.jpg,1.41,0.0
avneesh_0204_left_eye.jpg,7.43,1.99
avneesh_0204_right_eye.jpg,7.55,1.65
avneesh_0207_left_eye.jpg,7.63,1.65
avneesh_0207_right_eye.jpg,7.77,2.0
avneesh_0208_left_eye.jpg,8.01,2.17
avneesh_0208_right_eye.jpg,9.27,3.92
avneesh_0215_left_eye.jpg,7.96,2.11
avneesh_0215_right_eye.jpg,8.29,2.56
avneesh_0216_left_eye.jpg,8.6,3.0
avneesh_0216_right_eye.jpg,8.3,2.65
avneesh_0248_left_eye.jpg,8.56,2.86
avneesh_0248_right_eye.jpg,9.04,3.3
avneesh_0251_left_eye.jpg,9.08,3.51
avneesh_0251_right_eye.jpg,8.86,3.19
avneesh_0298_left_eye.jpg,8.98,3.38
avneesh_0298_right_eye.jpg,9.04,3.35
avneesh_0304_left_eye.jpg,9.08,3.6
avneesh_0304_right_eye.jpg,9.15,3.51
avneesh_0305_left_eye.jpg,9.07,3.44
avneesh_0305_right_eye.jpg,9.42,3.87
avneesh_0308_left_eye.jpg,5.76,3.4
avneesh_0308_right_eye.jpg,9.12,3.67
avneesh_0316_left_eye.jpg,9.04,3.4
avneesh_0316_right_eye.jpg,9.08,3.62
avneesh_0317_left_eye.jpg,9.15,3.46
avneesh_0317_right_eye.jpg,9.22,3.59
avneesh_0318_left_eye.jpg,9.08,3.33
avneesh_0318_right_eye.jpg,9.27,3.75
avneesh_0321_left_eye.jpg,9.06,3.51
avneesh_0321_right_eye.jpg,9.06,3.53
avneesh_0330_left_eye.jpg,9.2,3.58
avneesh_0330_right_eye.jpg,9.28,3.87
avneesh_0401_left_eye.jpg,9.2,3.46
avneesh_0401_right_eye.jpg,9.28,3.82
avneesh_0436_left_eye.jpg,6.59,1.21
avneesh_0436_right_eye.jpg,6.59,0.98
avneesh_0441_left_eye.jpg,0.78,0.0
avneesh_0441_right_eye.jpg,0.55,0.0
avneesh_0453_right_eye.jpg,2.66,0.0
avneesh_0464_left_eye.jpg,7.28,1.16
avneesh_0464_right_eye.jpg,7.4,1.36
avneesh_0468_left_eye.jpg,8.44,2.39
avneesh_0468_right_eye.jpg,8.23,2.71
avneesh_0470_left_eye.jpg,8.6,2.23
avneesh_0540_right_eye.jpg,0.64,0.0
avneesh_0556_left_eye.jpg,7.87,2.18
avneesh_0717_left_eye.jpg,5.66,0.8
avneesh_0717_right_eye.jpg,5.83,0.64
avneesh_0726_left_eye.jpg,7.8,1.89
avneesh_0726_right_eye.jpg,8.58,2.84
avneesh_0731_left_eye.jpg,8.56,2.37
avneesh_0766_right_eye.jpg,5.9,0.89
avneesh_0772_left_eye.jpg,0.0,0.0
avneesh_0777_left_eye.jpg,0.0,0.0
avneesh_0797_left_eye.jpg,8.17,2.08
avneesh_0797_right_eye.jpg,8.6,2.77
avneesh_0801_left_eye.jpg,8.78,2.66
avneesh_0860_left_eye.jpg,0.0,0.0
avneesh_0861_left_eye.jpg,0.0,0.0
avneesh_0863_left_eye.jpg,0.0,0.0
avneesh_0927_left_eye.jpg,7.66,2.17
avneesh_0927_right_eye.jpg,7.78,2.16
avneesh_0933_left_eye.jpg,0.0,0.0
avneesh_0938_left_eye.jpg,0.0,0.0
avneesh_0939_left_eye.jpg,0.0,0.0
avneesh_0942_left_eye.jpg,0.0,0.0
avneesh_0956_left_eye.jpg,7.66,1.7
avneesh_0956_right_eye.jpg,7.52,1.58
avneesh_0957_left_eye.jpg,7.98,1.64
avneesh_0957_right_eye.jpg,8.24,2.46
avneesh_0959_left_eye.jpg,7.89,1.51
avneesh_0959_right_eye.jpg,8.34,2.48
avneesh_0960_left_eye.jpg,8.3,2.57
avneesh_0960_right_eye.jpg,8.55,2.84
avneesh_1012_left_eye.jpg,7.07,1.48
avneesh_1012_right_eye.jpg,7.74,2.48
avneesh_1014_left_eye.jpg,4.37,0.0
avneesh_1014_right_eye.jpg,5.05,0.0
